tmed,modelo,type_value,value,name_modelo,type
5,mtrat3,teffect,0.9889320871275086,Temp (Log-normal),univariate
5,mtrat6,teffect,0.9998127660996268,Temp (Logistic_Mod),univariate
5,mtrat3,predicted,1.186705489726732,Temp (Log-normal),univariate
5,mtrat6,predicted,0.5581072429855414,Temp (Logistic_Mod),univariate
5.1,mtrat3,teffect,0.9815539677436651,Temp (Log-normal),univariate
5.1,mtrat6,teffect,0.9997780886502239,Temp (Logistic_Mod),univariate
5.1,mtrat3,predicted,1.1778518435657521,Temp (Log-normal),univariate
5.1,mtrat6,predicted,0.5580878856255074,Temp (Logistic_Mod),univariate
5.2,mtrat3,teffect,0.9725613633803817,Temp (Log-normal),univariate
5.2,mtrat6,teffect,0.9997369907225635,Temp (Logistic_Mod),univariate
5.2,mtrat3,predicted,1.1670608366768502,Temp (Log-normal),univariate
5.2,mtrat6,predicted,0.5580649442790105,Temp (Logistic_Mod),univariate
5.3,mtrat3,teffect,0.9620963837745716,Temp (Log-normal),univariate
5.3,mtrat6,teffect,0.999688284426846,Temp (Logistic_Mod),univariate
5.3,mtrat3,predicted,1.1545029988740894,Temp (Log-normal),univariate
5.3,mtrat6,predicted,0.5580377558519964,Temp (Logistic_Mod),univariate
5.4,mtrat3,teffect,0.9502973238358431,Temp (Log-normal),univariate
5.4,mtrat6,teffect,0.9996305624397281,Temp (Logistic_Mod),univariate
5.4,mtrat3,predicted,1.1403442822289709,Temp (Log-normal),univariate
5.4,mtrat6,predicted,0.5580055347600257,Temp (Logistic_Mod),univariate
5.5,mtrat3,teffect,0.937297889116322,Temp (Log-normal),univariate
5.5,mtrat6,teffect,0.9995621576088605,Temp (Logistic_Mod),univariate
5.5,mtrat3,predicted,1.1247451316444161,Temp (Log-normal),univariate
5.5,mtrat6,predicted,0.5579673503790527,Temp (Logistic_Mod),univariate
5.6,mtrat3,teffect,0.9232265864782164,Temp (Log-normal),univariate
5.6,mtrat6,teffect,0.9994810951775002,Temp (Logistic_Mod),univariate
5.6,mtrat3,predicted,1.1078597536638624,Temp (Log-normal),univariate
5.6,mtrat6,predicted,0.557922100376642,Temp (Logistic_Mod),univariate
5.7,mtrat3,teffect,0.9082062608660151,Temp (Log-normal),univariate
5.7,mtrat6,teffect,0.9993850363038288,Temp (Logistic_Mod),univariate
5.7,mtrat3,predicted,1.0898355606039964,Temp (Log-normal),univariate
5.7,mtrat6,predicted,0.5578684791837879,Temp (Logistic_Mod),univariate
5.8,mtrat3,teffect,0.8923537602019319,Temp (Log-normal),univariate
5.8,mtrat6,teffect,0.9992712113208984,Temp (Logistic_Mod),univariate
5.8,mtrat3,predicted,1.0708127684336999,Temp (Log-normal),univariate
5.8,mtrat6,predicted,0.557804940739831,Temp (Logistic_Mod),univariate
5.9,mtrat3,teffect,0.8757797116694604,Temp (Log-normal),univariate
5.9,mtrat6,teffect,0.9991363409187883,Temp (Logistic_Mod),univariate
5.9,mtrat3,predicted,1.0509241283172575,Temp (Log-normal),univariate
5.9,mtrat6,predicted,0.5577296544954119,Temp (Logistic_Mod),univariate
6,mtrat3,teffect,0.858588393968647,Temp (Log-normal),univariate
6,mtrat6,teffect,0.9989765431266717,Temp (Logistic_Mod),univariate
6,mtrat3,predicted,1.0302947733223666,Temp (Log-normal),univariate
6,mtrat6,predicted,0.5576404534887661,Temp (Logistic_Mod),univariate
6.1,mtrat3,teffect,0.8408776914698984,Temp (Log-normal),univariate
6.1,mtrat6,teffect,0.9987872236254465,Temp (Logistic_Mod),univariate
6.1,mtrat3,predicted,1.00904216340531,Temp (Log-normal),univariate
6.1,mtrat6,predicted,0.5575347731169457,Temp (Logistic_Mod),univariate
6.2,mtrat3,teffect,0.8227391175244237,Temp (Log-normal),univariate
6.2,mtrat6,teffect,0.9985629465286323,Temp (Logistic_Mod),univariate
6.2,mtrat3,predicted,0.9872761133831776,Temp (Log-normal),univariate
6.2,mtrat6,predicted,0.5574095790041959,Temp (Logistic_Mod),univariate
6.3,mtrat3,teffect,0.8042578954818378,Temp (Log-normal),univariate
6.3,mtrat6,teffect,0.9982972823290077,Temp (Logistic_Mod),univariate
6.3,mtrat3,predicted,0.9650988901539269,Temp (Log-normal),univariate
6.3,mtrat6,predicted,0.5572612821239802,Temp (Logistic_Mod),univariate
6.4,mtrat3,teffect,0.7855130871998948,Temp (Log-normal),univariate
6.4,mtrat6,teffect,0.997982629222246,Temp (Logistic_Mod),univariate
6.4,mtrat3,predicted,0.9426053669063708,Temp (Log-normal),univariate
6.4,mtrat6,predicted,0.5570856390597325,Temp (Logistic_Mod),univariate
6.5,mtrat3,teffect,0.7665777599947877,Temp (Log-normal),univariate
6.5,mtrat6,teffect,0.9976100034918605,Temp (Logistic_Mod),univariate
6.5,mtrat3,predicted,0.9198832234583392,Temp (Log-normal),univariate
6.5,mtrat6,predicted,0.5568776349952693,Temp (Logistic_Mod),univariate
6.6,mtrat3,teffect,0.747519184064887,Temp (Log-normal),univariate
6.6,mtrat6,teffect,0.9971687940834948,Temp (Logistic_Mod),univariate
6.6,mtrat3,predicted,0.8970131831625683,Temp (Log-normal),univariate
6.6,mtrat6,predicted,0.5566313467152718,Temp (Logistic_Mod),univariate
6.7,mtrat3,teffect,0.7283990534219545,Temp (Log-normal),univariate
6.7,mtrat6,teffect,0.9966464759316478,Temp (Logistic_Mod),univariate
6.7,mtrat3,predicted,0.8740692780212492,Temp (Log-normal),univariate
6.7,mtrat6,predicted,0.5563397825808931,Temp (Logistic_Mod),univariate
6.8,mtrat3,teffect,0.7092737242804871,Temp (Log-normal),univariate
6.8,mtrat6,teffect,0.9960282760621442,Temp (Logistic_Mod),univariate
6.8,mtrat3,predicted,0.8511191347501029,Temp (Log-normal),univariate
6.8,mtrat6,predicted,0.5559946961442309,Temp (Logistic_Mod),univariate
6.9,mtrat3,teffect,0.6901944656887998,Temp (Log-normal),univariate
6.9,mtrat6,teffect,0.9952967860318953,Temp (Logistic_Mod),univariate
6.9,mtrat3,predicted,0.828224275532382,Temp (Log-normal),univariate
6.9,mtrat6,predicted,0.5555863698076446,Temp (Logistic_Mod),univariate
7,mtrat3,teffect,0.6712077179373203,Temp (Log-normal),univariate
7,mtrat6,teffect,0.9944315139630096,Temp (Logistic_Mod),univariate
7,mtrat3,predicted,0.8054404281054228,Temp (Log-normal),univariate
7,mtrat6,predicted,0.5551033647639282,Temp (Logistic_Mod),univariate
7.1,mtrat3,teffect,0.6523553549539753,Temp (Log-normal),univariate
7.1,mtrat6,teffect,0.9934083693966469,Temp (Logistic_Mod),univariate
7.1,mtrat3,predicted,0.7828178406316564,Temp (Log-normal),univariate
7.1,mtrat6,predicted,0.5545322334356737,Temp (Logistic_Mod),univariate
7.2,mtrat3,teffect,0.6336749474979891,Temp (Log-normal),univariate
7.2,mtrat6,teffect,0.9921990745977598,Temp (Logistic_Mod),univariate
7.2,mtrat3,predicted,0.7604015975277022,Temp (Log-normal),univariate
7.2,mtrat6,predicted,0.5538571908586555,Temp (Logistic_Mod),univariate
7.300000000000001,mtrat3,teffect,0.6152000244967484,Temp (Log-normal),univariate
7.300000000000001,mtrat6,teffect,0.9907704970140829,Temp (Logistic_Mod),univariate
7.300000000000001,mtrat3,predicted,0.7382319330651674,Temp (Log-normal),univariate
7.300000000000001,mtrat6,predicted,0.5530597420525882,Temp (Logistic_Mod),univariate
7.4,mtrat3,teffect,0.5969603303408065,Temp (Log-normal),univariate
7.4,mtrat6,teffect,0.9890838996437441,Temp (Logistic_Mod),univariate
7.4,mtrat3,predicted,0.7163445401212656,Temp (Log-normal),univariate
7.4,mtrat6,predicted,0.5521182635675129,Temp (Logistic_Mod),univariate
7.5,mtrat3,teffect,0.5789820763647863,Temp (Log-normal),univariate
7.5,mtrat6,teffect,0.9870941095115866,Temp (Logistic_Mod),univariate
7.5,mtrat3,predicted,0.6947708719525899,Temp (Log-normal),univariate
7.5,mtrat6,predicted,0.5510075393175011,Temp (Logistic_Mod),univariate
7.6,mtrat3,teffect,0.5612881851020565,Temp (Log-normal),univariate
7.6,mtrat6,teffect,0.9847486098345186,Temp (Logistic_Mod),univariate
7.6,mtrat3,predicted,0.6735384352975116,Temp (Log-normal),univariate
7.6,mtrat6,predicted,0.5496982538166783,Temp (Logistic_Mod),univariate
7.7,mtrat3,teffect,0.5438985262135648,Temp (Log-normal),univariate
7.7,mtrat6,teffect,0.9819865694496659,Temp (Logistic_Mod),univariate
7.7,mtrat3,predicted,0.6526710734876732,Temp (Log-normal),univariate
7.7,mtrat6,predicted,0.548156450394605,Temp (Logistic_Mod),univariate
7.800000000000001,mtrat3,teffect,0.5268301432608828,Temp (Log-normal),univariate
7.800000000000001,mtrat6,teffect,0.9787378345048907,Temp (Logistic_Mod),univariate
7.800000000000001,mtrat3,predicted,0.6321892385726592,Temp (Log-normal),univariate
7.800000000000001,mtrat6,predicted,0.5463429683460685,Temp (Logistic_Mod),univariate
7.9,mtrat3,teffect,0.5100974707248116,Temp (Log-normal),univariate
7.9,mtrat6,teffect,0.9749219232024093,Temp (Logistic_Mod),univariate
7.9,mtrat3,predicted,0.6121102517394661,Temp (Log-normal),univariate
7.9,mtrat6,predicted,0.5442128817851484,Temp (Logistic_Mod),univariate
8,mtrat3,teffect,0.49371254086800254,Temp (Log-normal),univariate
8,mtrat6,teffect,0.970447085513523,Temp (Logistic_Mod),univariate
8,mtrat3,predicted,0.592448551544925,Temp (Log-normal),univariate
8,mtrat6,predicted,0.5417149747669224,Temp (Logistic_Mod),univariate
8.1,mtrat3,teffect,0.47768518020682477,Temp (Log-normal),univariate
8.1,mtrat6,teffect,0.965209517096489,Temp (Logistic_Mod),univariate
8.1,mtrat3,predicted,0.5732159296793575,Temp (Log-normal),univariate
8.1,mtrat6,predicted,0.538791302487179,Temp (Logistic_Mod),univariate
8.2,mtrat3,teffect,0.46202319549770454,Temp (Log-normal),univariate
8.2,mtrat6,teffect,0.9590928506000165,Temp (Logistic_Mod),univariate
8.2,mtrat3,predicted,0.5544217541477341,Temp (Log-normal),univariate
8.2,mtrat6,predicted,0.5353769073220466,Temp (Logistic_Mod),univariate
8.3,mtrat3,teffect,0.4467325492596088,Temp (Log-normal),univariate
8.3,mtrat6,teffect,0.9519680877187569,Temp (Logistic_Mod),univariate
8.3,mtrat3,predicted,0.5360731798943456,Temp (Log-normal),univariate
8.3,mtrat6,predicted,0.5313997809005688,Temp (Logistic_Mod),univariate
8.4,mtrat3,teffect,0.43181752495019193,Temp (Log-normal),univariate
8.4,mtrat6,teffect,0.9436941798643679,Temp (Logistic_Mod),univariate
8.4,mtrat3,predicted,0.5181753470120046,Temp (Log-normal),univariate
8.4,mtrat6,predicted,0.5267811882421217,Temp (Logistic_Mod),univariate
8.5,mtrat3,teffect,0.41728088199099345,Temp (Log-normal),univariate
8.5,mtrat6,teffect,0.9341195098019273,Temp (Logistic_Mod),univariate
8.5,mtrat3,predicted,0.5007315667702437,Temp (Log-normal),univariate
8.5,mtrat6,predicted,0.5214364948232817,Temp (Logistic_Mod),univariate
8.6,mtrat3,teffect,0.4031240008993911,Temp (Log-normal),univariate
8.6,mtrat6,teffect,0.9230845633070861,Temp (Logistic_Mod),univariate
8.6,mtrat3,predicted,0.4837434957717476,Temp (Log-normal),univariate
8.6,mtrat6,predicted,0.5152766579282654,Temp (Logistic_Mod),univariate
8.7,mtrat3,teffect,0.3893470188338421,Temp (Log-normal),univariate
8.7,mtrat6,teffect,0.9104260966324271,Temp (Logistic_Mod),univariate
8.7,mtrat3,predicted,0.4672112986048599,Temp (Log-normal),univariate
8.7,mtrat6,predicted,0.5082105529776568,Temp (Logistic_Mod),univariate
8.8,mtrat3,teffect,0.3759489558962403,Temp (Log-normal),univariate
8.8,mtrat6,teffect,0.8959830852543205,Temp (Logistic_Mod),univariate
8.8,mtrat3,predicted,0.4511337994047491,Temp (Log-normal),univariate
8.8,mtrat6,predicted,0.5001482941888541,Temp (Logistic_Mod),univariate
8.9,mtrat3,teffect,0.3629278325626215,Temp (Log-normal),univariate
8.9,mtrat6,teffect,0.8796046608358703,Temp (Logistic_Mod),univariate
8.9,mtrat3,predicted,0.43550862276870994,Temp (Log-normal),univariate
8.9,mtrat6,predicted,0.49100566508211846,Temp (Logistic_Mod),univariate
9,mtrat3,teffect,0.3502807786324536,Temp (Log-normal),univariate
9,mtrat6,teffect,0.861160084381694,Temp (Logistic_Mod),univariate
9,mtrat3,predicted,0.42033232449387686,Temp (Log-normal),univariate
9,mtrat6,predicted,0.4807096856128479,Temp (Logistic_Mod),univariate
9.100000000000001,mtrat3,teffect,0.33800413409867675,Temp (Log-normal),univariate
9.100000000000001,mtrat6,teffect,0.8405505472363071,Temp (Logistic_Mod),univariate
9.100000000000001,mtrat3,predicted,0.40560051261994556,Temp (Log-normal),univariate
9.100000000000001,mtrat6,predicted,0.46920519962764506,Temp (Logistic_Mod),univariate
9.2,mtrat3,teffect,0.3260935423466334,Temp (Log-normal),univariate
9.2,mtrat6,teffect,0.8177222361371088,Temp (Logistic_Mod),univariate
9.2,mtrat3,predicted,0.39130795926666223,Temp (Log-normal),univariate
9.2,mtrat6,predicted,0.4564621679305281,Temp (Logistic_Mod),univariate
9.3,mtrat3,teffect,0.31454403609106046,Temp (Log-normal),univariate
9.3,mtrat6,teffect,0.7926796697191556,Temp (Logistic_Mod),univariate
9.3,mtrat3,predicted,0.37744870375708295,Temp (Log-normal),univariate
9.3,mtrat6,predicted,0.44248311287672065,Temp (Logistic_Mod),univariate
9.4,mtrat3,teffect,0.3033501164572978,Temp (Log-normal),univariate
9.4,mtrat6,teffect,0.76549787575583506,Temp (Logistic_Mod),univariate
9.4,mtrat3,predicted,0.36401614751398353,Temp (Log-normal),univariate
9.4,mtrat6,predicted,0.4273099158515906,Temp (Logistic_Mod),univariate
9.5,mtrat3,teffect,0.2925058256065095,Temp (Log-normal),univariate
9.5,mtrat6,teffect,0.7363316359928336,Temp (Logistic_Mod),univariate
9.5,mtrat3,predicted,0.3510031412091688,Temp (Log-normal),univariate
9.5,mtrat6,predicted,0.41102897784568204,Temp (Logistic_Mod),univariate
9.600000000000001,mtrat3,teffect,0.2820048132957271,Temp (Log-normal),univariate
9.600000000000001,mtrat6,teffect,0.7054199108875627,Temp (Logistic_Mod),univariate
9.600000000000001,mtrat3,predicted,0.3384020646346489,Temp (Log-normal),univariate
9.600000000000001,mtrat6,predicted,0.3937736893962939,Temp (Logistic_Mod),univariate
9.7,mtrat3,teffect,0.2718403977524171,Temp (Log-normal),univariate
9.7,mtrat6,teffect,0.673083794406315,Temp (Logistic_Mod),univariate
9.7,mtrat3,predicted,0.3262048997513191,Temp (Log-normal),univariate
9.7,mtrat6,predicted,0.3757232889312031,Temp (Logistic_Mod),univariate
9.8,mtrat3,teffect,0.26200562123057436,Temp (Log-normal),univariate
9.8,mtrat6,teffect,0.6397170042948539,Temp (Logistic_Mod),univariate
9.8,mtrat3,predicted,0.3144032973555405,Temp (Log-normal),univariate
9.8,mtrat6,predicted,0.3570975543258808,Temp (Logistic_Mod),univariate
9.9,mtrat3,teffect,0.252493300601432,Temp (Log-normal),univariate
9.9,mtrat6,teffect,0.6057689404647891,Temp (Logistic_Mod),univariate
9.9,mtrat3,predicted,0.30298863778732626,Temp (Log-normal),univariate
9.9,mtrat6,predicted,0.3381473458955489,Temp (Logistic_Mod),univariate
10,mtrat3,teffect,0.24329607331710287,Temp (Log-normal),univariate
10,mtrat6,teffect,0.5717215645909854,Temp (Logistic_Mod),univariate
10,mtrat3,predicted,0.29195208608610657,Temp (Log-normal),univariate
10,mtrat6,predicted,0.3191417003145766,Temp (Logistic_Mod),univariate
10.100000000000001,mtrat3,teffect,0.23440643907016137,Temp (Log-normal),univariate
10.100000000000001,mtrat6,teffect,0.5380624851108795,Temp (Logistic_Mod),univariate
10.100000000000001,mtrat3,predicted,0.28128464198167835,Temp (Log-normal),univariate
10.100000000000001,mtrat6,predicted,0.30035280634660216,Temp (Logistic_Mod),univariate
10.2,mtrat3,teffect,0.22581679745652217,Temp (Log-normal),univariate
10.2,mtrat6,teffect,0.5052573710151195,Temp (Logistic_Mod),univariate
10.2,mtrat3,predicted,0.27097718508916424,Temp (Log-normal),univariate
10.2,mtrat6,predicted,0.28204060589807706,Temp (Logistic_Mod),univariate
10.3,mtrat3,teffect,0.2175194819332339,Temp (Log-normal),univariate
10.3,mtrat6,teffect,0.4737249518148385,Temp (Logistic_Mod),univariate
10.3,mtrat3,predicted,0.26102051565791795,Temp (Log-normal),univariate
10.3,mtrat6,predicted,0.26443883870601903,Temp (Logistic_Mod),univariate
10.4,mtrat3,teffect,0.2095067903471234,Temp (Log-normal),univariate
10.4,mtrat6,teffect,0.4438173500654571,Temp (Logistic_Mod),univariate
10.4,mtrat3,predicted,0.2514053912054959,Temp (Log-normal),univariate
10.4,mtrat6,predicted,0.24774406372152602,Temp (Logistic_Mod),univariate
10.5,mtrat3,teffect,0.20177101229472874,Temp (Log-normal),univariate
10.5,mtrat6,teffect,0.4158074867773732,Temp (Logistic_Mod),univariate
10.5,mtrat3,predicted,0.24212255934921628,Temp (Log-normal),univariate
10.5,mtrat6,predicted,0.23210862866192136,Temp (Logistic_Mod),univariate
10.600000000000001,mtrat3,teffect,0.1943044535587909,Temp (Log-normal),univariate
10.600000000000001,mtrat6,teffect,0.38988407826819826,Temp (Logistic_Mod),univariate
10.600000000000001,mtrat3,predicted,0.23316278712962796,Temp (Log-normal),univariate
10.600000000000001,mtrat6,predicted,0.2176378771948393,Temp (Logistic_Mod),univariate
10.7,mtrat3,teffect,0.18709945785178692,Temp (Log-normal),univariate
10.7,mtrat6,teffect,0.36615360871092917,Temp (Logistic_Mod),univariate
10.7,mtrat3,predicted,0.2245168871024639,Temp (Log-normal),univariate
10.7,mtrat6,predicted,0.2043912500378101,Temp (Logistic_Mod),univariate
10.8,mtrat3,teffect,0.1801484260826644,Temp (Log-normal),univariate
10.8,mtrat6,teffect,0.34464784355971684,Temp (Logistic_Mod),univariate
10.8,mtrat3,predicted,0.21617574045846888,Temp (Log-normal),univariate
10.8,mtrat6,predicted,0.19238647904087564,Temp (Logistic_Mod),univariate
10.9,mtrat3,teffect,0.17344383334914812,Temp (Log-normal),univariate
10.9,mtrat6,teffect,0.32533504451053297,Temp (Logistic_Mod),univariate
10.9,mtrat3,predicted,0.20813031741394403,Temp (Log-normal),univariate
10.9,mtrat6,predicted,0.18160584750951173,Temp (Logistic_Mod),univariate
11,mtrat3,teffect,0.1669782438447176,Temp (Log-normal),univariate
11,mtrat6,teffect,0.30813303122662794,Temp (Logistic_Mod),univariate
11,mtrat3,predicted,0.20037169509892355,Temp (Log-normal),univariate
11,mtrat6,predicted,0.17200348141337385,Temp (Logistic_Mod),univariate
11.100000000000001,mtrat3,teffect,0.1607443238567045,Temp (Log-normal),univariate
11.100000000000001,mtrat6,teffect,0.29292250159624916,Temp (Logistic_Mod),univariate
11.100000000000001,mtrat3,predicted,0.19289107315472073,Temp (Log-normal),univariate
11.100000000000001,mtrat6,predicted,0.1635127849107902,Temp (Logistic_Mod),univariate
11.2,mtrat3,teffect,0.15473485301986004,Temp (Log-normal),univariate
11.2,mtrat6,teffect,0.2795594363228102,Temp (Logistic_Mod),univariate
11.2,mtrat3,predicted,0.18567978723806047,Temp (Log-normal),univariate
11.2,mtrat6,predicted,0.15605336473686165,Temp (Logistic_Mod),univariate
11.3,mtrat3,teffect,0.14894273397826982,Temp (Log-normal),univariate
11.3,mtrat6,teffect,0.2678858563476878,Temp (Logistic_Mod),univariate
11.3,mtrat3,predicted,0.1787293206152502,Temp (Log-normal),univariate
11.3,mtrat6,predicted,0.14953703512336522,Temp (Logistic_Mod),univariate
11.4,mtrat3,teffect,0.1433610005976086,Temp (Log-normal),univariate
11.4,mtrat6,teffect,0.2577385918749111,Temp (Logistic_Mod),univariate
11.4,mtrat3,predicted,0.17203131401677732,Temp (Log-normal),univariate
11.4,mtrat6,predicted,0.14387271277145178,Temp (Logistic_Mod),univariate
11.5,mtrat3,teffect,0.13798282485943691,Temp (Log-normal),univariate
11.5,mtrat6,teffect,0.24895601933821176,Temp (Logistic_Mod),univariate
11.5,mtrat3,predicted,0.1655775739103745,Temp (Log-normal),univariate
11.5,mtrat6,predicted,0.13897017750587448,Temp (Logistic_Mod),univariate
11.600000000000001,mtrat3,teffect,0.13280152255953426,Temp (Log-normal),univariate
11.600000000000001,mtrat6,teffect,0.24138291964779107,Temp (Logistic_Mod),univariate
11.600000000000001,mtrat3,predicted,0.1593600793389445,Temp (Log-normal),univariate
11.600000000000001,mtrat6,predicted,0.13474278420546307,Temp (Logistic_Mod),univariate
11.7,mtrat3,teffect,0.12781055792312512,Temp (Log-normal),univariate
11.7,mtrat6,teffect,0.2348737196408962,Temp (Logistic_Mod),univariate
11.7,mtrat3,predicted,0.15337098745877067,Temp (Log-normal),univariate
11.7,mtrat6,predicted,0.13110927221895222,Temp (Logistic_Mod),univariate
11.8,mtrat3,teffect,0.12300354724126691,Temp (Log-normal),univariate
11.8,mtrat6,teffect,0.2292944198751982,Temp (Logistic_Mod),univariate
11.8,mtrat3,predicted,0.14760263790313466,Temp (Log-normal),univariate
11.8,mtrat6,predicted,0.12799484148191428,Temp (Logistic_Mod),univariate
