year,sp_elev,sp_code,elev_code,Specie,abi,npp,ratio
2001,sylvestris_medium,sylvestris,medium,P. sylvestris,390.526527438453,820.5,0.47596164221627424
2002,sylvestris_medium,sylvestris,medium,P. sylvestris,257.880639812585,858.7,0.30031517388212997
2003,sylvestris_medium,sylvestris,medium,P. sylvestris,323.370710684019,821,0.39387419084533376
2004,sylvestris_medium,sylvestris,medium,P. sylvestris,331.629999567439,887.6,0.37362550649779064
2005,sylvestris_medium,sylvestris,medium,P. sylvestris,126.536179404636,790.7,0.1600305797453345
2006,sylvestris_medium,sylvestris,medium,P. sylvestris,138.827531232051,841.1,0.16505472741891689
2007,sylvestris_medium,sylvestris,medium,P. sylvestris,118.655976618434,844.5,0.1405044128104606
2008,sylvestris_medium,sylvestris,medium,P. sylvestris,224.816201883332,804.8000000000001,0.2793441872307803
2009,sylvestris_medium,sylvestris,medium,P. sylvestris,201.388708231178,781.8000000000001,0.2575961988119442
2010,sylvestris_medium,sylvestris,medium,P. sylvestris,200.356707880688,827.8000000000001,0.2420351629387388
2011,sylvestris_medium,sylvestris,medium,P. sylvestris,260.468465976592,884.2,0.29458093867517754
2012,sylvestris_medium,sylvestris,medium,P. sylvestris,97.6633055590754,727.7,0.134208197827505
2013,sylvestris_medium,sylvestris,medium,P. sylvestris,275.581194643744,934.6,0.29486539123019906
2014,sylvestris_medium,sylvestris,medium,P. sylvestris,174.424978020961,925.1,0.1885471603296519
2015,sylvestris_medium,sylvestris,medium,P. sylvestris,123.979650196846,841.9000000000001,0.1472617296553581
2016,sylvestris_medium,sylvestris,medium,P. sylvestris,105.120372375173,847,0.124109058294183
2017,sylvestris_medium,sylvestris,medium,P. sylvestris,131.44910777667,835.2,0.1573863838322198
2018,sylvestris_medium,sylvestris,medium,P. sylvestris,195.134375967529,867.5,0.22493876192222362
2001,sylvestris_high,sylvestris,high,P. sylvestris,391.84305961625,625.9000000000001,0.626047387148506
2002,sylvestris_high,sylvestris,high,P. sylvestris,314.456843706444,763,0.41213216737410746
2003,sylvestris_high,sylvestris,high,P. sylvestris,374.390770216833,655.1,0.5715017099936391
2004,sylvestris_high,sylvestris,high,P. sylvestris,407.595009846786,748.4000000000001,0.5446218731250481
2005,sylvestris_high,sylvestris,high,P. sylvestris,285.625006729538,602,0.47446014406899994
2006,sylvestris_high,sylvestris,high,P. sylvestris,326.752496335296,610.8000000000001,0.5349582454736345
2007,sylvestris_high,sylvestris,high,P. sylvestris,267.63619227392,785.8000000000001,0.340590725724001
2008,sylvestris_high,sylvestris,high,P. sylvestris,368.382135583602,707,0.5210496967236238
2009,sylvestris_high,sylvestris,high,P. sylvestris,259.737372711552,571,0.4548815634177793
2010,sylvestris_high,sylvestris,high,P. sylvestris,354.334607828625,595.1,0.5954202786567383
2011,sylvestris_high,sylvestris,high,P. sylvestris,391.606309790548,661.1,0.5923556342316563
2012,sylvestris_high,sylvestris,high,P. sylvestris,208.260035871728,520.4,0.40019222880808614
2013,sylvestris_high,sylvestris,high,P. sylvestris,326.427725218079,688.8000000000001,0.4739078472968626
2014,sylvestris_high,sylvestris,high,P. sylvestris,286.613733522699,633.1,0.4527147899584568
2015,sylvestris_high,sylvestris,high,P. sylvestris,238.36680727488,575.6,0.41411884516136205
2016,sylvestris_high,sylvestris,high,P. sylvestris,266.932272768818,539.7,0.4945937979781693
2017,sylvestris_high,sylvestris,high,P. sylvestris,268.702534071255,583.9,0.4601858778408204
2018,sylvestris_high,sylvestris,high,P. sylvestris,324.499581434592,641.1,0.5061606324046046
2001,halepensis_low,halepensis,low,P. halepensis,37.813925632046,245,0.15434255360018775
2002,halepensis_low,halepensis,low,P. halepensis,56.9996742209315,311,0.18327869524415275
2003,halepensis_low,halepensis,low,P. halepensis,40.764130326489,267.6,0.152332325584787
2004,halepensis_low,halepensis,low,P. halepensis,123.84486641924,391.7000000000001,0.31617275062353833
2005,halepensis_low,halepensis,low,P. halepensis,37.8546080366371,302.40000000000003,0.12518058213173644
2006,halepensis_low,halepensis,low,P. halepensis,24.0820410765901,278,0.08662604703809389
2007,halepensis_low,halepensis,low,P. halepensis,32.7455167613971,304.90000000000003,0.10739756235289306
2008,halepensis_low,halepensis,low,P. halepensis,28.7274310206517,244,0.1177353730354578
2009,halepensis_low,halepensis,low,P. halepensis,41.9024671437451,316.20000000000005,0.13251887142234375
2010,halepensis_low,halepensis,low,P. halepensis,147.598989651263,339.8,0.43437018731978516
2011,halepensis_low,halepensis,low,P. halepensis,98.3237288494051,406.6,0.24181930361388365
2012,halepensis_low,halepensis,low,P. halepensis,4.99129056487366,299,0.01669327948118281
2013,halepensis_low,halepensis,low,P. halepensis,37.8688440273333,375.1,0.10095666229627646
2014,halepensis_low,halepensis,low,P. halepensis,8.60741532669482,276.8,0.03109615363690325
2015,halepensis_low,halepensis,low,P. halepensis,21.8238196211987,207.1,0.10537817296571078
2016,halepensis_low,halepensis,low,P. halepensis,19.7566427403227,163.5,0.12083573541481774
2017,halepensis_low,halepensis,low,P. halepensis,37.218696520132,266.40000000000003,0.13970982177226723
2018,halepensis_low,halepensis,low,P. halepensis,23.9806469687468,295.90000000000003,0.08104307863719769
2019,halepensis_low,halepensis,low,P. halepensis,14.1442150479459,310.1,0.04561178667509158
2020,halepensis_low,halepensis,low,P. halepensis,24.2588149619468,247.7,0.09793627356458136
2021,halepensis_low,halepensis,low,P. halepensis,16.8121807659879,267.40000000000003,0.06287277773368698
2022,halepensis_low,halepensis,low,P. halepensis,40.706174897313,301.2,0.13514666300568726
2001,halepensis_high,halepensis,high,P. halepensis,49.0317604737226,503.8,0.09732385961437594
2002,halepensis_high,halepensis,high,P. halepensis,84.1466913740038,508.2000000000001,0.16557790510429707
2003,halepensis_high,halepensis,high,P. halepensis,83.5908687732384,519.2,0.16099936204398765
2004,halepensis_high,halepensis,high,P. halepensis,106.218680991638,566.7,0.18743370564961706
2005,halepensis_high,halepensis,high,P. halepensis,19.6627455298506,483.9,0.04063390272752759
2006,halepensis_high,halepensis,high,P. halepensis,36.9978676005737,499.6,0.074054979184495
2007,halepensis_high,halepensis,high,P. halepensis,34.6126403805404,584.6,0.059207390319090655
2008,halepensis_high,halepensis,high,P. halepensis,15.8987586386623,474.6,0.03349928073885862
2009,halepensis_high,halepensis,high,P. halepensis,43.1625250517003,461.2000000000001,0.09358743506439786
2010,halepensis_high,halepensis,high,P. halepensis,78.4813008964852,530.2,0.1480220688353172
2011,halepensis_high,halepensis,high,P. halepensis,90.8800297302947,602.4,0.15086326316449983
2012,halepensis_high,halepensis,high,P. halepensis,20.086230410045,457.6,0.043894734287685755
2013,halepensis_high,halepensis,high,P. halepensis,74.6820797477177,643.1,0.11612825337850675
2014,halepensis_high,halepensis,high,P. halepensis,24.0964017031496,521.9,0.04617053401638168
2015,halepensis_high,halepensis,high,P. halepensis,32.7244538519226,449.3,0.07283430636973647
2016,halepensis_high,halepensis,high,P. halepensis,13.4281142594466,423,0.03174495096795887
2017,halepensis_high,halepensis,high,P. halepensis,38.6194028087764,447.2000000000001,0.08635823526112789
2018,halepensis_high,halepensis,high,P. halepensis,49.9583778428628,602.9,0.08286345636567059
2019,halepensis_high,halepensis,high,P. halepensis,40.1099496595411,534.8000000000001,0.0749999058704957
2020,halepensis_high,halepensis,high,P. halepensis,38.4254169307951,504.2000000000001,0.07621066428162454
2021,halepensis_high,halepensis,high,P. halepensis,20.8841971645177,449.1,0.04650233169565286
2022,halepensis_high,halepensis,high,P. halepensis,32.2971366963157,444.4,0.07267582514922524
2001,halepensis_medium,halepensis,medium,P. halepensis,100.132039466788,594.3000000000001,0.16848736238732626
2002,halepensis_medium,halepensis,medium,P. halepensis,121.548576599144,684.4000000000001,0.1775987384557919
2003,halepensis_medium,halepensis,medium,P. halepensis,97.8636600088686,554.1,0.17661732540853384
2004,halepensis_medium,halepensis,medium,P. halepensis,179.919532944449,702.4000000000001,0.256149676743236
2005,halepensis_medium,halepensis,medium,P. halepensis,54.5195663572042,635.3000000000001,0.08581704133040169
2006,halepensis_medium,halepensis,medium,P. halepensis,49.7057284254475,608.7,0.08165882770732297
2007,halepensis_medium,halepensis,medium,P. halepensis,81.1418105578285,686.8000000000001,0.11814474455129367
2008,halepensis_medium,halepensis,medium,P. halepensis,103.826765765756,637.3000000000001,0.16291662602503684
2009,halepensis_medium,halepensis,medium,P. halepensis,77.7334940967955,642.3000000000001,0.12102365576334344
2010,halepensis_medium,halepensis,medium,P. halepensis,133.653881940324,698.9000000000001,0.19123462861686075
2011,halepensis_medium,halepensis,medium,P. halepensis,105.633828543077,725.8000000000001,0.14554123524810827
2012,halepensis_medium,halepensis,medium,P. halepensis,15.007117524888,566,0.026514341916763252
2013,halepensis_medium,halepensis,medium,P. halepensis,42.3377738540979,760.3000000000001,0.055685616012229246
2014,halepensis_medium,halepensis,medium,P. halepensis,21.9353398665246,626.1,0.035034882393426926
2015,halepensis_medium,halepensis,medium,P. halepensis,34.0421151817648,589.2,0.05777684178846707
2016,halepensis_medium,halepensis,medium,P. halepensis,12.0483141341454,599.9,0.020083870868720453
2017,halepensis_medium,halepensis,medium,P. halepensis,46.0927051482851,645.2,0.07143940661544497
2018,halepensis_medium,halepensis,medium,P. halepensis,43.3510575426858,690.5,0.06278212533336104
2001,pinaster_low,pinaster,low,P. pinaster,104.707927549871,665.3000000000001,0.15738452961050803
2002,pinaster_low,pinaster,low,P. pinaster,65.1930549545067,705,0.09247241837518681
2003,pinaster_low,pinaster,low,P. pinaster,109.758441439041,611,0.17963738369728477
2004,pinaster_low,pinaster,low,P. pinaster,95.6145000273815,752,0.12714694152577327
2005,pinaster_low,pinaster,low,P. pinaster,22.2811572960548,556.6,0.04003082518155731
2006,pinaster_low,pinaster,low,P. pinaster,71.9397306979779,589.2,0.12209730261028155
2007,pinaster_low,pinaster,low,P. pinaster,38.9153625062609,713,0.05457975106067447
2008,pinaster_low,pinaster,low,P. pinaster,56.8160129230055,616.9000000000001,0.09209922665424784
2009,pinaster_low,pinaster,low,P. pinaster,51.6662982296846,588.6,0.08777828445410227
2010,pinaster_low,pinaster,low,P. pinaster,100.238026404166,679.4000000000001,0.14753904386836325
2011,pinaster_low,pinaster,low,P. pinaster,119.819838812488,737.1,0.16255574387801927
2012,pinaster_low,pinaster,low,P. pinaster,23.9117223185731,538.3000000000001,0.04442081054908619
2013,pinaster_low,pinaster,low,P. pinaster,156.727705273845,788.9000000000001,0.19866612406368994
2014,pinaster_low,pinaster,low,P. pinaster,55.1112470967189,669.9000000000001,0.08226787146845632
2015,pinaster_low,pinaster,low,P. pinaster,43.7568416072159,619.4000000000001,0.07064391605943798
2016,pinaster_low,pinaster,low,P. pinaster,20.6084239233212,614.2,0.03355327893735135
2017,pinaster_low,pinaster,low,P. pinaster,40.7947919522417,570.2,0.07154470703655155
2018,pinaster_low,pinaster,low,P. pinaster,68.3663012219614,697,0.09808651538301491
2019,pinaster_low,pinaster,low,P. pinaster,32.7498260697283,689.7,0.04748416133061954
2020,pinaster_low,pinaster,low,P. pinaster,82.3828072255259,653.9000000000001,0.12598685919181202
2021,pinaster_low,pinaster,low,P. pinaster,39.9351102618251,692.9000000000001,0.057634738435308266
2001,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,63.1391525284105,591.1,0.10681636360752918
2002,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,76.5246635458151,567.5,0.13484522210716318
2003,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,82.1371596036432,548.1,0.1498579813969042
2004,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,92.0852128917153,640.7,0.14372594489108054
2005,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,22.5701929813269,518.9,0.04349622852443034
2006,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,49.9198383856532,553.5,0.0901894099108459
2007,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,44.8656071555345,611.4,0.0733817585141225
2008,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,25.3382425578132,523.5,0.04840160947051232
2009,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,53.0798083691887,510.5,0.10397611825502194
2010,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,69.0459039771952,588.6,0.11730530747060006
2011,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,87.0097941870316,666.5,0.13054732811257555
2012,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,17.7922618913871,526.4,0.03379988961129768
2013,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,84.6486930631865,720.7,0.1174534384115256
2014,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,31.4198798809991,627.9000000000001,0.050039623954449906
2015,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,58.6405472243766,599,0.09789740772016127
2016,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,17.6694868100637,499.7000000000001,0.03536018973396777
2017,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,24.3585526211228,498.9,0.048824519184451395
2018,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,50.3029167081008,639.3000000000001,0.07868436838432785
2019,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,26.0347368549061,620.1,0.0419847393241511
2020,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,56.3786227876122,594.7,0.09480178709872573
2021,pinaster_low-Dec,pinaster,low-Dec,P. pinaster,46.0026969900231,615,0.07480113331711073
2001,pinaster_medium,pinaster,medium,P. pinaster,211.124337748167,783.8000000000001,0.2693599614036323
2002,pinaster_medium,pinaster,medium,P. pinaster,155.215852862108,821.1,0.1890340431885373
2003,pinaster_medium,pinaster,medium,P. pinaster,214.19939413498,692.5,0.3093132045270469
2004,pinaster_medium,pinaster,medium,P. pinaster,216.265080560467,871.3000000000001,0.24820966436413058
2005,pinaster_medium,pinaster,medium,P. pinaster,26.3277438560599,658,0.04001176877820654
2006,pinaster_medium,pinaster,medium,P. pinaster,83.5804362283606,709.1,0.11786833483057481
2007,pinaster_medium,pinaster,medium,P. pinaster,48.2144652124617,866.4000000000001,0.05564919807532513
2008,pinaster_medium,pinaster,medium,P. pinaster,86.546613665784193,767.8000000000001,0.11272025744436596
2009,pinaster_medium,pinaster,medium,P. pinaster,109.173537536747,705.2,0.15481216326821753
2010,pinaster_medium,pinaster,medium,P. pinaster,203.58794811646,818.8000000000001,0.2486418516322179
2011,pinaster_medium,pinaster,medium,P. pinaster,259.615134834406,834.6,0.3110653424807165
2012,pinaster_medium,pinaster,medium,P. pinaster,50.5322874844486,603.3000000000001,0.08375980023943079
2013,pinaster_medium,pinaster,medium,P. pinaster,204.943518348359,896.5,0.22860403608294366
2014,pinaster_medium,pinaster,medium,P. pinaster,91.2982356229815,757.5,0.12052572359469504
2015,pinaster_medium,pinaster,medium,P. pinaster,89.7769610904624,695.3000000000001,0.12911974844018753
2016,pinaster_medium,pinaster,medium,P. pinaster,49.985554634096,754.4000000000001,0.06625868853936372
2017,pinaster_medium,pinaster,medium,P. pinaster,67.5152444633929,685.5,0.0984905097934251
2001,pinaster_high,pinaster,high,P. pinaster,427.609982109377,733.7,0.5828131145009908
2002,pinaster_high,pinaster,high,P. pinaster,307.102869291661,821.4000000000001,0.37387736704609326
2003,pinaster_high,pinaster,high,P. pinaster,409.502892761369,704.6,0.5811849173451163
2004,pinaster_high,pinaster,high,P. pinaster,393.236514284218,777.2,0.5059656642874653
2005,pinaster_high,pinaster,high,P. pinaster,49.493918734757,649,0.07626181623229122
2006,pinaster_high,pinaster,high,P. pinaster,160.875204977467,696.4000000000001,0.23100977165058442
2007,pinaster_high,pinaster,high,P. pinaster,89.0744028779833,826,0.10783826014283693
2008,pinaster_high,pinaster,high,P. pinaster,119.700893948206,735.9000000000001,0.16265918460144854
2009,pinaster_high,pinaster,high,P. pinaster,190.516944725612,654.9000000000001,0.2909099782037135
2010,pinaster_high,pinaster,high,P. pinaster,329.327716986301,786.9000000000001,0.4185127932218846
2011,pinaster_high,pinaster,high,P. pinaster,395.182497758477,825.4000000000001,0.47877695391140895
2012,pinaster_high,pinaster,high,P. pinaster,125.03362007773,587.3000000000001,0.21289565822872467
2013,pinaster_high,pinaster,high,P. pinaster,341.969411450739,846.4000000000001,0.4040281326213835
2014,pinaster_high,pinaster,high,P. pinaster,152.670559660691,773,0.1975039581638952
2015,pinaster_high,pinaster,high,P. pinaster,188.199181691623,694.3000000000001,0.27106320278211576
2016,pinaster_high,pinaster,high,P. pinaster,115.043194551587,754.2,0.1525367204343503
2017,pinaster_high,pinaster,high,P. pinaster,134.376904673089,685.4000000000001,0.19605617839668657
2018,pinaster_high,pinaster,high,P. pinaster,249.25626654804,764,0.32625165778539267
2019,pinaster_high,pinaster,high,P. pinaster,106.30934898838,767.2,0.13856797313396765
2020,pinaster_high,pinaster,high,P. pinaster,168.412313012651,764.7,0.22023318034870012
2001,nigra_low,nigra,low,P. nigra,77.3811007324918,712.7,0.10857457658550834
2002,nigra_low,nigra,low,P. nigra,92.7422057082096,754.2,0.12296765540733173
2003,nigra_low,nigra,low,P. nigra,95.6995192477375,662.2,0.14451754643270537
2004,nigra_low,nigra,low,P. nigra,98.8628310663187,775.9000000000001,0.12741697521113377
2005,nigra_low,nigra,low,P. nigra,24.5939938642655,595.7,0.04128587185540624
2006,nigra_low,nigra,low,P. nigra,61.3520250565688,663,0.09253699103554872
2007,nigra_low,nigra,low,P. nigra,76.3757428127001,767.9000000000001,0.09946053237752323
2008,nigra_low,nigra,low,P. nigra,39.0493245524747,654.8000000000001,0.05963549870567302
2009,nigra_low,nigra,low,P. nigra,122.588998493695,634.4000000000001,0.19323612625109549
2010,nigra_low,nigra,low,P. nigra,180.025109534375,705.8000000000001,0.2550653294621351
2011,nigra_low,nigra,low,P. nigra,184.533564587827,775.4000000000001,0.23798499430981038
2012,nigra_low,nigra,low,P. nigra,39.1504523881048,537.5,0.07283805095461358
2013,nigra_low,nigra,low,P. nigra,85.4119849618604,782.1,0.10920852187937655
2014,nigra_low,nigra,low,P. nigra,47.1572182651322,683.5,0.0689937355744436
2015,nigra_low,nigra,low,P. nigra,60.8651771231035,671.1,0.09069464628684772
2016,nigra_low,nigra,low,P. nigra,27.3116558801455,649.6,0.04204380523421413
2017,nigra_low,nigra,low,P. nigra,61.3612563218281,610.8000000000001,0.10046047203966617
2018,nigra_low,nigra,low,P. nigra,69.449266066739,715.3000000000001,0.09709110312699426
2019,nigra_low,nigra,low,P. nigra,44.1360063444285,732.3000000000001,0.060270389655098316
2020,nigra_low,nigra,low,P. nigra,101.638723175406,722.4000000000001,0.14069590694269932
2021,nigra_low,nigra,low,P. nigra,88.2070732775841,771.2,0.11437639169811216
2001,nigra_medium,nigra,medium,P. nigra,59.6568861109251,748.6,0.07969127185536348
2002,nigra_medium,nigra,medium,P. nigra,54.5978069815439,790.6,0.06905869843352377
2003,nigra_medium,nigra,medium,P. nigra,66.1944147440426,671.4000000000001,0.09859162160268482
2004,nigra_medium,nigra,medium,P. nigra,50.5653018310631,823.2,0.061425293769513
2005,nigra_medium,nigra,medium,P. nigra,12.5082752760129,628.9000000000001,0.01988913225634107
2006,nigra_medium,nigra,medium,P. nigra,31.9220355574143,693.9000000000001,0.04600379818045006
2007,nigra_medium,nigra,medium,P. nigra,26.6188434181496,806.3000000000001,0.03301357239011484
2008,nigra_medium,nigra,medium,P. nigra,14.3455517637421,713.2,0.020114346275577816
2009,nigra_medium,nigra,medium,P. nigra,60.9240924599503,673.5,0.0904589346101712
2010,nigra_medium,nigra,medium,P. nigra,105.259688884339,750.1,0.14032754150691773
2011,nigra_medium,nigra,medium,P. nigra,107.368713062928,800.4000000000001,0.1341438194189505
2012,nigra_medium,nigra,medium,P. nigra,15.94044377598,552.1,0.02887238503166093
2013,nigra_medium,nigra,medium,P. nigra,36.5133545581426,815.1,0.04479616557249736
2014,nigra_medium,nigra,medium,P. nigra,17.6059732965805,723.3000000000001,0.024341176961952853
2015,nigra_medium,nigra,medium,P. nigra,34.3330492571681,670.7,0.0511898751411482
2016,nigra_medium,nigra,medium,P. nigra,14.7638270710314,681.7,0.02165736698112278
2017,nigra_medium,nigra,medium,P. nigra,39.9734887509007,628.9000000000001,0.06356096160105056
2001,nigra_high,nigra,high,P. nigra,226.687142767073,714.9000000000001,0.31708930307325917
2002,nigra_high,nigra,high,P. nigra,185.480456700286,780,0.23779545730805898
2003,nigra_high,nigra,high,P. nigra,225.734503029216,651.6,0.34643109734379374
2004,nigra_high,nigra,high,P. nigra,221.467234008195,786.3000000000001,0.28165742592928267
2005,nigra_high,nigra,high,P. nigra,58.0067199006837,606.4,0.09565751962513803
2006,nigra_high,nigra,high,P. nigra,132.799943773372,667.2,0.19904068311356715
2007,nigra_high,nigra,high,P. nigra,101.195392498203,835.5,0.12111956014147578
2008,nigra_high,nigra,high,P. nigra,106.486056520201,726.3000000000001,0.1466144245080559
2009,nigra_high,nigra,high,P. nigra,182.172878300728,693.6,0.26264832511638986
2010,nigra_high,nigra,high,P. nigra,276.347310836505,758.2,0.3644781203330322
2011,nigra_high,nigra,high,P. nigra,217.55441575292,768.7,0.2830160215336542
2012,nigra_high,nigra,high,P. nigra,64.6058269077105,555,0.1164068953292081
2013,nigra_high,nigra,high,P. nigra,177.623766243844,821.1,0.2163241581340202
2014,nigra_high,nigra,high,P. nigra,82.630912759477,733.7,0.11262220629613874
2015,nigra_high,nigra,high,P. nigra,149.277335139177,683.4000000000001,0.21843332622062772
2016,nigra_high,nigra,high,P. nigra,67.1719051748518,663.5,0.10123874178576006
2017,nigra_high,nigra,high,P. nigra,119.072190672159,655.4000000000001,0.18167865528251292
2018,nigra_high,nigra,high,P. nigra,133.716497674968,737.5,0.1813105053219905
2019,nigra_high,nigra,high,P. nigra,83.13196921582,772.3000000000001,0.10764206812873235
2020,nigra_high,nigra,high,P. nigra,186.666693449243,766.5,0.2435312373767032
2001,sylvestris_low,sylvestris,low,P. sylvestris,155.14236317016,885.2,0.1752624979328513
2002,sylvestris_low,sylvestris,low,P. sylvestris,117.242955145263,965.4,0.12144495043014605
2003,sylvestris_low,sylvestris,low,P. sylvestris,125.811219917319,889.7,0.14140858707128132
2004,sylvestris_low,sylvestris,low,P. sylvestris,140.209737769433,1008.4,0.13904178676064358
2005,sylvestris_low,sylvestris,low,P. sylvestris,68.2511574253691,841.3000000000001,0.08112582601375146
2006,sylvestris_low,sylvestris,low,P. sylvestris,79.284233987518,897.8000000000001,0.08830946089053017
2007,sylvestris_low,sylvestris,low,P. sylvestris,71.3619921506315,920.2,0.07755052396286839
2008,sylvestris_low,sylvestris,low,P. sylvestris,92.125616711564,868.3000000000001,0.1060988330203432
2009,sylvestris_low,sylvestris,low,P. sylvestris,84.1953075318964,812.7,0.10359949247187941
2010,sylvestris_low,sylvestris,low,P. sylvestris,106.225100646613,890.4000000000001,0.11930042750068845
2011,sylvestris_low,sylvestris,low,P. sylvestris,148.531672205642,1004.4,0.14788099582401631
2012,sylvestris_low,sylvestris,low,P. sylvestris,69.8595461194127,753.2,0.09275032676501951
2013,sylvestris_low,sylvestris,low,P. sylvestris,165.858637915376,1031.8,0.1607468869115875
2014,sylvestris_low,sylvestris,low,P. sylvestris,102.445582661784,990.1,0.10346993501846682
2015,sylvestris_low,sylvestris,low,P. sylvestris,91.9680105315761,887.7,0.10360258029917326
2016,sylvestris_low,sylvestris,low,P. sylvestris,71.311148504909,922.9,0.07726855401983855
2017,sylvestris_low,sylvestris,low,P. sylvestris,86.3193073805846,903.9,0.09549652326649476
2018,sylvestris_low,sylvestris,low,P. sylvestris,94.2843436194798,959.6,0.09825379701904939
